id,district,primary_crop,year,month,day_of_year,season,is_kharif,is_rabi,rainfall_mm,temperature_c,humidity_pct,dam_level_pct,groundwater_level_m,crop_price_inr_qtl,price_volatility,msp_gap_inr,subsidy_delay_days,insurance_claim_rate,pm_kisan_coverage,complaint_count,distress_news_score,water_stress_index,market_stress_index,gov_failure_score,risk_score,risk_label,risk_category
283,Udupi,Paddy,2022,12,73,Rabi,0,1,37.6,28.9,79.1,83.5,52.6,2161,253.2,-22,1,0.064,0.872,3,18.7,31.9,25.5,6.9,9.6,0,Safe
284,Vijayapura,Soybean,2023,4,323,Summer,0,0,15.3,34.8,69.6,40.1,22.1,5509,540.8,3326,64,0.561,0.547,8,20.7,68.9,54.1,54.6,28.6,1,Alert
285,Mandya,Sugarcane,2023,4,231,Summer,0,0,17.8,37.1,66.8,28.5,29.1,3690,351.7,1507,66,0.28,0.741,5,7.2,71.2,35.2,46.0,28.5,1,Alert
286,Mandya,Sugarcane,2024,9,31,Kharif,1,0,77.6,32.1,63.3,54.6,38.5,3394,458.2,1211,5,0.222,0.831,10,31.6,53.5,45.8,11.0,19.2,0,Safe
287,Bidar,Sorghum,2022,6,214,Kharif,1,0,38.2,33.2,40.7,17.5,22.5,3004,360.3,821,14,0.671,0.542,5,26.7,80.0,36.0,29.9,21.1,0,Safe
288,Uttara Kannada,Paddy,2022,9,48,Kharif,1,0,197.6,29.2,73.4,88.0,45.3,2198,214.2,15,20,0.12,0.659,1,14.3,33.4,21.4,27.0,11.4,0,Safe
289,Kolar,Tomato,2023,12,131,Rabi,0,1,6.0,37.9,49.1,27.9,49.1,680,71.1,-1503,10,0.47,0.661,8,24.7,61.5,22.1,21.9,13.7,0,Safe
290,Chikkamagaluru,Coffee,2022,3,317,Summer,0,0,25.2,23.0,67.5,54.1,55.5,10366,1134.5,8183,15,0.247,0.726,3,5.2,45.2,113.5,21.2,31.2,1,Alert
291,Davangere,Paddy,2024,1,132,Rabi,0,1,5.4,31.0,67.0,48.7,32.1,2276,294.9,93,45,0.328,0.649,6,16.9,59.6,29.5,40.0,13.6,0,Safe
292,Ramanagara,Ragi,2024,1,195,Rabi,0,1,4.4,28.3,60.2,40.9,51.4,3722,507.7,1539,28,0.338,0.671,3,12.4,53.9,50.8,30.5,26.6,1,Alert
293,Bagalkot,Sugarcane,2022,12,107,Rabi,0,1,5.3,33.2,68.4,39.7,38.2,3556,346.2,1373,14,0.431,0.626,4,76.0,61.0,34.6,25.7,29.8,1,Alert
294,Udupi,Paddy,2024,11,113,Rabi,0,1,50.2,26.0,72.3,98.1,40.9,1955,208.7,-228,1,0.064,0.741,3,0.0,30.5,23.1,13.5,17.1,0,Safe
295,Yadgir,Paddy,2022,11,131,Rabi,0,1,25.3,34.3,55.1,24.6,47.5,2103,251.6,-80,9,0.747,0.495,12,30.8,64.0,26.0,29.8,22.1,0,Safe
296,Udupi,Paddy,2022,6,55,Kharif,1,0,261.2,29.7,83.0,43.5,22.7,2270,331.8,87,1,0.091,0.821,0,0.0,66.9,33.2,9.5,14.9,0,Safe
297,Shivamogga,Paddy,2023,1,248,Rabi,0,1,10.4,31.4,71.4,67.3,33.2,2273,222.4,90,24,0.15,0.768,3,15.2,49.8,22.2,23.6,17.2,0,Safe
298,Chamarajanagar,Ragi,2024,4,54,Summer,0,0,31.3,37.7,75.3,31.4,22.1,3979,469.0,1796,11,0.328,0.687,10,12.6,73.2,46.9,21.1,27.5,1,Alert
299,Bangalore Rural,Tomato,2024,5,89,Summer,0,0,69.1,33.8,69.3,20.8,21.1,684,130.6,-1499,5,0.327,0.59,6,19.3,79.1,28.0,23.0,18.0,0,Safe
300,Haveri,Cotton,2022,5,121,Summer,0,0,157.1,37.8,54.4,33.9,26.9,7789,871.6,5606,21,0.33,0.724,4,28.5,69.6,87.2,24.3,21.2,0,Safe
301,Bagalkot,Sugarcane,2023,1,80,Rabi,0,1,7.9,34.2,62.8,44.7,31.0,3554,458.5,1371,26,0.57,0.636,5,17.7,62.1,45.9,31.2,25.8,1,Alert
302,Chamarajanagar,Ragi,2023,2,95,Rabi,0,1,4.4,33.6,72.5,40.5,39.6,3853,386.5,1670,5,0.199,0.663,7,18.8,60.0,38.6,19.3,32.1,1,Alert
303,Vijayapura,Soybean,2024,9,227,Kharif,1,0,94.8,33.3,50.9,41.9,22.4,4632,557.4,2449,70,0.61,0.604,7,29.6,67.8,55.7,54.8,24.7,0,Safe
304,Kalaburagi,Soybean,2022,6,215,Kharif,1,0,37.6,36.3,48.9,19.6,26.3,4774,618.7,2591,4,0.616,0.539,8,41.7,77.1,61.9,25.0,34.9,1,Alert
305,Kolar,Tomato,2024,5,333,Summer,0,0,65.4,43.1,58.4,20.7,42.2,751,107.9,-1432,3,0.412,0.679,10,63.7,68.5,25.1,17.5,29.9,1,Alert
306,Bagalkot,Sugarcane,2022,4,84,Summer,0,0,16.3,37.3,63.3,29.1,19.1,3593,432.8,1410,3,0.489,0.606,5,14.5,75.9,43.3,21.2,28.6,1,Alert
307,Kodagu,Coffee,2023,3,124,Summer,0,0,37.6,26.1,81.4,56.8,53.7,10428,1241.7,8245,1,0.141,0.799,1,0.0,44.8,124.2,10.5,25.1,1,Alert
308,Shivamogga,Paddy,2022,2,281,Rabi,0,1,18.0,36.5,70.6,61.0,46.4,2273,339.2,90,18,0.193,0.764,0,10.4,46.3,33.9,20.8,11.5,0,Safe
309,Gadag,Wheat,2022,11,57,Rabi,0,1,25.9,33.6,64.8,45.4,28.1,2284,326.4,101,9,0.523,0.636,10,23.0,63.2,32.6,22.7,20.4,0,Safe
310,Gadag,Wheat,2022,5,33,Summer,0,0,97.6,43.5,53.6,16.9,15.9,2513,306.2,330,9,0.454,0.634,12,13.7,83.6,30.6,22.8,23.6,0,Safe
311,Mandya,Sugarcane,2023,4,223,Summer,0,0,32.7,36.9,65.0,31.1,39.2,3634,428.7,1451,2,0.214,0.708,6,45.0,64.8,42.9,15.6,26.3,1,Alert
312,Tumkuru,Groundnut,2024,12,235,Rabi,0,1,4.7,33.0,53.2,53.7,31.7,6504,745.7,4321,16,0.422,0.615,10,3.8,57.3,74.6,27.2,32.7,1,Alert
313,Bengaluru,Tomato,2023,9,166,Kharif,1,0,71.9,34.7,90.6,31.2,49.7,714,82.2,-1469,47,0.314,0.534,3,5.1,59.5,22.9,46.8,15.5,0,Safe
314,Bangalore Rural,Tomato,2023,3,97,Summer,0,0,6.2,35.9,58.4,20.1,44.2,748,125.8,-1435,1,0.202,0.691,0,30.0,67.8,26.9,16.0,22.8,0,Safe
315,Bagalkot,Sugarcane,2022,7,235,Kharif,1,0,41.8,36.4,64.4,34.3,30.6,3400,388.6,1217,3,0.503,0.563,4,14.1,67.6,38.9,23.4,21.4,0,Safe
316,Gadag,Wheat,2024,6,280,Kharif,1,0,58.5,39.2,49.9,17.0,20.2,2387,333.9,204,110,0.515,0.634,5,22.1,81.4,33.4,73.3,30.9,1,Alert
317,Dharwada,Cotton,2023,10,199,Summer,0,0,49.2,36.4,71.1,56.4,39.4,6502,823.7,4319,10,0.406,0.707,8,20.3,52.1,82.4,19.7,33.3,1,Alert
318,Raichur,Paddy,2022,6,204,Kharif,1,0,49.1,39.8,71.6,16.5,22.5,2130,228.8,-53,15,0.735,0.551,6,28.7,80.5,23.4,29.9,21.8,0,Safe
319,Kalaburagi,Soybean,2022,4,141,Summer,0,0,24.3,33.3,44.4,11.6,15.6,4892,600.0,2709,36,0.551,0.587,6,14.3,86.4,60.0,38.7,22.0,0,Safe
320,Bengaluru,Tomato,2022,9,21,Kharif,1,0,142.7,33.4,64.3,26.5,43.1,736,66.7,-1447,0,0.151,0.552,3,15.1,65.2,21.1,22.4,16.1,0,Safe
321,Bangalore Rural,Tomato,2022,12,326,Rabi,0,1,9.3,29.0,72.3,29.3,40.5,708,43.4,-1475,7,0.354,0.644,3,11.2,65.1,19.1,21.3,10.1,0,Safe
322,Yadgir,Paddy,2023,10,335,Summer,0,0,36.7,39.0,54.7,23.5,38.4,2142,293.1,-41,33,0.778,0.465,8,33.2,69.0,29.7,43.2,33.8,1,Alert
323,Bidar,Sorghum,2023,12,321,Rabi,0,1,6.7,31.7,53.7,40.2,36.8,3078,382.8,895,60,0.582,0.492,6,34.7,61.5,38.3,55.4,25.8,1,Alert
324,Ramanagara,Ragi,2023,11,61,Rabi,0,1,27.6,31.6,61.9,52.0,57.7,3478,504.9,1295,28,0.241,0.644,5,43.1,45.1,50.5,31.8,26.0,1,Alert
325,Raichur,Paddy,2024,6,187,Kharif,1,0,27.5,34.9,65.5,16.6,14.8,2131,284.4,-52,143,0.758,0.57,6,27.9,84.3,29.0,93.0,34.0,1,Alert
326,Bidar,Sorghum,2023,4,282,Summer,0,0,17.1,34.5,57.4,13.5,28.6,3125,393.8,942,10,0.597,0.509,9,38.0,79.0,39.4,29.6,20.7,0,Safe
327,Kalaburagi,Soybean,2023,11,35,Rabi,0,1,33.6,32.2,62.3,27.6,45.2,4304,562.7,2121,157,0.606,0.615,10,21.8,63.6,56.3,97.8,27.9,1,Alert
328,Dharwad,Cotton,2024,5,69,Summer,0,0,75.4,41.1,70.9,32.4,21.1,7156,893.5,4973,50,0.397,0.676,6,15.7,73.2,89.3,41.2,30.0,1,Alert
329,Kalaburagi,Soybean,2023,5,159,Summer,0,0,67.9,39.3,57.0,13.1,33.9,5305,627.2,3122,88,0.534,0.557,5,30.9,76.5,62.7,66.2,36.5,1,Alert
330,Tumkuru,Groundnut,2024,3,125,Summer,0,0,14.3,37.6,61.4,32.3,25.1,6838,778.0,4655,1,0.413,0.752,5,17.0,71.3,77.8,12.9,24.0,0,Safe
331,Mandya,Sugarcane,2024,3,115,Summer,0,0,3.5,40.5,53.8,51.2,40.4,3579,377.4,1396,35,0.245,0.737,3,17.4,54.2,37.7,30.6,34.9,1,Alert
332,Mysuru,Paddy,2022,6,245,Kharif,1,0,119.2,37.3,66.9,44.2,28.1,2153,144.4,-30,20,0.256,0.803,5,42.6,63.9,14.7,19.8,15.0,0,Safe
333,Dharwad,Cotton,2022,11,74,Rabi,0,1,16.4,32.6,54.8,42.7,35.8,6656,839.4,4473,19,0.402,0.664,6,14.0,60.8,83.9,26.3,28.9,1,Alert
334,Belagavi,Sugarcane,2024,2,242,Rabi,0,1,4.6,31.5,63.7,45.2,23.2,2947,414.5,764,55,0.28,0.72,5,5.8,65.8,41.5,41.5,31.4,1,Alert
335,Mysuru,Paddy,2024,3,228,Summer,0,0,6.9,39.3,76.4,48.7,25.1,2366,222.1,183,48,0.282,0.787,2,6.3,63.1,22.2,34.6,19.5,0,Safe
336,Mandya,Sugarcane,2024,12,35,Rabi,0,1,8.7,28.8,65.1,68.3,45.7,3143,402.9,960,0,0.263,0.687,2,13.8,43.0,40.3,15.6,14.2,0,Safe
337,Shivamogga,Paddy,2022,11,8,Rabi,0,1,50.9,25.8,62.0,80.4,56.2,2031,228.3,-152,19,0.087,0.768,3,12.6,31.7,24.4,21.1,15.0,0,Safe
338,Bengaluru,Tomato,2024,1,243,Rabi,0,1,5.1,32.7,67.5,28.3,36.1,696,102.7,-1487,63,0.176,0.549,6,8.4,67.8,25.1,54.0,17.5,0,Safe
339,Chikkaballapur,Tomato,2024,8,93,Kharif,1,0,63.3,40.9,55.9,31.1,28.7,699,20.0,-1484,5,0.407,0.603,7,26.5,70.1,16.8,22.4,14.3,0,Safe
340,Chikkaballapur,Tomato,2022,8,161,Kharif,1,0,35.9,34.6,52.7,20.1,24.9,678,102.9,-1505,7,0.433,0.63,11,43.9,77.5,25.3,22.0,21.1,0,Safe
341,Belagavi,Sugarcane,2022,8,4,Kharif,1,0,133.5,30.9,55.3,37.4,25.7,3213,403.7,1030,3,0.382,0.666,9,24.2,68.5,40.4,18.2,21.6,0,Safe
342,Udupi,Paddy,2024,10,196,Summer,0,0,261.8,30.0,80.1,100.0,51.4,1950,381.4,-233,8,0.07,0.762,1,12.2,24.3,40.5,15.9,11.7,0,Safe
343,Uttara Kannada,Paddy,2023,5,299,Summer,0,0,220.0,28.7,66.1,43.3,27.5,2329,228.9,146,15,0.163,0.762,1,15.0,64.6,22.9,19.4,17.6,0,Safe
344,Hassan,Paddy,2022,11,251,Rabi,0,1,54.5,28.2,53.8,73.4,42.3,2116,292.0,-67,28,0.322,0.739,2,0.0,42.1,29.9,27.1,9.8,0,Safe
345,Raichur,Paddy,2022,5,258,Summer,0,0,38.9,39.0,55.1,8.4,7.0,2317,292.6,134,10,0.746,0.538,10,51.2,92.3,29.3,28.1,29.1,1,Alert
346,Dharwad,Cotton,2022,2,304,Rabi,0,1,3.4,35.6,60.1,32.1,28.3,6873,780.6,4690,19,0.479,0.607,6,62.7,69.8,78.1,29.2,42.3,1,Alert
347,Bengaluru,Tomato,2024,10,166,Summer,0,0,114.1,31.5,68.7,25.4,39.6,658,86.0,-1525,13,0.126,0.488,10,18.8,67.5,23.9,32.1,15.9,0,Safe
348,Gadag,Wheat,2023,9,86,Kharif,1,0,29.7,32.9,54.6,38.2,17.0,2451,278.1,268,60,0.485,0.646,11,39.9,72.4,27.8,47.7,37.6,1,Alert
349,Ramanagara,Ragi,2024,12,121,Rabi,0,1,5.1,33.2,58.9,48.5,45.2,3775,429.8,1592,17,0.272,0.66,3,0.0,53.1,43.0,25.5,21.6,0,Safe
350,Gadag,Wheat,2022,3,308,Summer,0,0,8.2,38.4,73.5,28.9,33.8,2518,246.6,335,16,0.524,0.663,7,33.6,68.7,24.7,24.8,19.6,0,Safe
351,Chikkaballapur,Tomato,2022,5,165,Summer,0,0,54.5,36.4,55.9,14.1,25.6,753,20.0,-1430,15,0.447,0.635,8,16.7,80.2,16.3,25.8,23.5,0,Safe
352,Kalaburagi,Soybean,2023,1,250,Rabi,0,1,4.3,32.2,71.0,17.7,34.5,4723,523.2,2540,12,0.583,0.624,8,46.6,73.9,52.3,24.8,25.4,1,Alert
353,Bengaluru,Tomato,2022,12,33,Rabi,0,1,10.3,35.2,76.3,20.1,38.6,723,74.3,-1460,8,0.129,0.487,5,0.0,70.7,22.0,29.7,27.7,1,Alert
354,Haveri,Cotton,2022,5,169,Summer,0,0,74.7,40.5,67.3,29.5,23.2,7605,845.4,5422,77,0.356,0.687,4,45.7,73.7,84.5,54.1,40.7,1,Alert
355,Kolar,Tomato,2024,7,250,Kharif,1,0,73.7,37.7,62.3,25.6,25.5,758,103.8,-1425,10,0.499,0.631,12,42.5,74.5,24.6,23.4,14.7,0,Safe
356,Mandya,Sugarcane,2023,4,95,Summer,0,0,17.1,36.4,72.7,37.6,46.8,3539,313.1,1356,0,0.252,0.702,5,0.0,57.8,31.3,14.9,22.8,0,Safe
357,Gadag,Wheat,2023,8,134,Kharif,1,0,139.0,28.9,58.9,40.3,38.7,2322,379.8,139,33,0.483,0.623,6,30.5,60.5,38.0,35.4,26.6,1,Alert
358,Uttara Kannada,Paddy,2022,4,8,Summer,0,0,107.2,28.0,66.3,42.6,25.0,2317,294.7,134,6,0.054,0.768,1,0.0,66.2,29.5,14.6,17.5,0,Safe
359,Davangere,Paddy,2023,4,170,Summer,0,0,15.0,39.1,71.7,32.8,28.2,2379,218.3,196,25,0.423,0.705,7,31.5,69.5,21.8,27.2,33.1,1,Alert
360,Vijayapura,Soybean,2022,7,363,Kharif,1,0,89.7,38.0,64.8,44.2,22.7,4549,624.8,2366,27,0.605,0.62,10,40.2,66.5,62.5,32.5,30.8,1,Alert
361,Vijayapura,Soybean,2022,6,20,Kharif,1,0,106.7,34.7,63.6,32.0,9.0,4903,596.7,2720,4,0.564,0.626,6,14.6,79.5,59.7,20.7,26.2,1,Alert
362,Bangalore Rural,Tomato,2023,4,237,Summer,0,0,15.9,41.0,50.4,23.9,37.2,739,20.0,-1444,20,0.275,0.721,8,26.2,69.4,16.4,24.0,27.8,1,Alert
363,Udupi,Paddy,2023,7,46,Kharif,1,0,235.2,29.7,76.8,51.0,27.5,2162,254.4,-21,12,0.067,0.83,4,24.4,60.8,25.7,14.5,13.6,0,Safe
364,Tumkuru,Groundnut,2024,2,193,Rabi,0,1,4.1,39.6,58.4,41.8,34.4,6268,739.5,4085,73,0.307,0.699,8,17.0,61.9,74.0,51.6,34.4,1,Alert
365,Tumkuru,Groundnut,2022,8,365,Kharif,1,0,49.3,37.1,63.4,39.6,51.6,5800,824.4,3617,150,0.471,0.672,14,16.3,54.4,82.4,91.4,47.2,1,Alert
366,Raichur,Paddy,2024,1,154,Rabi,0,1,2.6,37.5,54.1,28.2,33.8,2291,359.2,108,31,0.783,0.465,9,19.0,69.0,35.9,42.2,26.2,1,Alert
367,Bidar,Sorghum,2022,2,275,Rabi,0,1,2.9,34.5,44.0,27.1,12.5,2975,381.8,792,58,0.597,0.515,6,28.6,80.2,38.2,53.2,32.7,1,Alert
368,Gadag,Wheat,2022,10,34,Summer,0,0,70.0,36.3,60.5,40.4,30.4,2013,378.2,-170,8,0.561,0.637,8,10.0,64.6,39.5,22.1,22.1,0,Safe
369,Gadag,Wheat,2023,3,86,Summer,0,0,12.7,42.1,59.5,24.7,37.8,2487,280.3,304,84,0.414,0.607,10,29.3,68.8,28.0,61.7,35.2,1,Alert
370,Raichur,Paddy,2022,2,342,Rabi,0,1,4.1,39.6,63.4,27.5,27.1,2172,145.8,-11,1,0.641,0.485,8,40.8,72.7,14.7,26.2,7.8,0,Safe
371,Kalaburagi,Soybean,2023,3,120,Summer,0,0,5.7,37.0,53.7,14.4,30.5,4887,488.5,2704,14,0.544,0.622,6,48.5,77.5,48.9,25.9,35.1,1,Alert
372,Chamarajanagar,Ragi,2023,4,255,Summer,0,0,39.7,37.4,55.1,43.1,45.3,3993,471.2,1810,19,0.227,0.679,6,0.0,55.8,47.1,25.5,16.4,0,Safe
373,Kodagu,Coffee,2024,6,1,Kharif,1,0,251.5,17.3,87.4,38.7,25.5,9595,1167.2,7412,50,0.046,0.826,2,0.0,67.9,116.7,33.7,35.8,1,Alert
374,Chamarajanagar,Ragi,2024,1,347,Rabi,0,1,8.4,29.3,79.3,53.0,33.4,3650,525.7,1467,40,0.257,0.738,6,27.8,56.8,52.6,33.1,22.8,0,Safe
375,Mandya,Sugarcane,2023,1,156,Rabi,0,1,5.8,36.2,56.3,56.2,36.1,3295,417.6,1112,2,0.292,0.68,7,18.7,53.8,41.8,17.0,18.9,0,Safe
376,Chamarajanagar,Ragi,2024,12,110,Rabi,0,1,14.5,30.0,68.4,56.7,44.8,3870,397.2,1687,35,0.214,0.695,4,17.0,49.2,39.7,32.8,15.2,0,Safe
377,Kalaburagi,Soybean,2023,3,259,Summer,0,0,10.2,35.0,50.4,15.6,17.3,4820,546.7,2637,45,0.529,0.566,6,31.5,83.6,54.7,44.2,32.4,1,Alert
378,Shivamogga,Paddy,2023,7,32,Kharif,1,0,135.8,34.6,71.4,51.1,45.9,2289,254.8,106,4,0.19,0.776,3,0.0,51.5,25.5,13.2,15.7,0,Safe
379,Haveri,Cotton,2023,6,304,Kharif,1,0,30.7,32.6,62.6,29.5,36.0,7055,919.1,4872,13,0.335,0.718,5,0.0,67.2,91.9,20.6,37.9,1,Alert
380,Mysuru,Paddy,2023,4,132,Summer,0,0,69.6,39.0,61.7,39.6,36.5,2421,244.1,238,4,0.248,0.756,4,33.3,62.0,24.4,14.2,12.8,0,Safe
381,Yadgir,Paddy,2023,3,329,Summer,0,0,7.1,34.4,53.2,13.5,30.6,2326,221.1,143,10,0.758,0.341,9,34.5,78.0,22.1,38.0,29.9,1,Alert
382,Bagalkot,Sugarcane,2024,2,209,Rabi,0,1,12.7,32.7,64.7,47.3,29.0,3340,298.4,1157,101,0.411,0.659,7,23.0,61.9,29.8,67.5,28.0,1,Alert
383,Mysuru,Paddy,2024,3,289,Summer,0,0,30.1,34.6,59.6,53.7,26.3,2224,211.9,41,78,0.228,0.765,6,5.4,60.0,21.2,50.8,27.4,1,Alert
384,Kalaburagi,Soybean,2023,5,79,Summer,0,0,48.5,40.1,66.6,17.4,11.0,5012,613.7,2829,84,0.585,0.481,6,7.2,85.8,61.4,68.0,28.7,1,Alert
385,Uttara Kannada,Paddy,2022,11,18,Rabi,0,1,44.1,25.6,49.8,100.0,53.0,1929,311.3,-254,3,0.177,0.738,2,20.7,23.5,33.7,14.6,24.0,0,Safe
386,Raichur,Paddy,2023,6,61,Kharif,1,0,44.1,39.6,51.4,16.1,19.0,2159,168.2,-24,82,0.688,0.528,11,18.7,82.5,17.1,64.6,30.3,1,Alert
387,Gadag,Wheat,2023,7,67,Kharif,1,0,108.5,36.8,55.9,31.6,25.5,2202,288.1,19,159,0.559,0.641,12,21.9,71.5,28.8,97.5,30.9,1,Alert
388,Uttara Kannada,Paddy,2023,8,206,Kharif,1,0,187.8,28.6,68.8,67.2,50.2,2428,284.7,245,11,0.197,0.793,2,0.0,41.3,28.5,15.8,22.3,0,Safe
389,Chikkaballapur,Tomato,2022,7,337,Kharif,1,0,26.4,33.3,55.6,22.9,20.2,672,129.2,-1511,4,0.413,0.666,11,40.0,78.4,28.0,18.7,37.7,1,Alert
390,Raichur,Paddy,2023,8,178,Kharif,1,0,25.9,33.2,55.0,20.8,23.0,2269,301.5,86,58,0.674,0.582,6,31.6,78.1,30.1,49.9,39.7,1,Alert
391,Chikkaballapur,Tomato,2023,5,275,Summer,0,0,111.1,41.1,51.0,22.1,30.6,743,110.1,-1440,54,0.409,0.662,7,13.2,73.7,25.4,43.9,21.3,0,Safe
392,Dharwada,Cotton,2023,7,181,Kharif,1,0,82.1,33.2,73.4,30.2,23.1,7338,830.7,5155,16,0.421,0.687,7,21.2,73.3,83.1,23.6,23.7,0,Safe
393,Belagavi,Sugarcane,2022,1,137,Rabi,0,1,7.4,35.1,66.7,44.7,48.4,3256,409.6,1073,43,0.311,0.719,5,9.4,53.5,41.0,35.5,19.4,0,Safe
394,Ballari,Cotton,2023,9,210,Kharif,1,0,62.9,37.9,54.0,42.1,31.3,7536,799.4,5353,38,0.455,0.574,11,38.8,63.3,79.9,40.3,29.5,1,Alert
395,Belagavi,Sugarcane,2024,3,186,Summer,0,0,21.5,36.5,75.2,41.1,48.5,3504,401.6,1321,14,0.283,0.744,7,10.6,55.2,40.2,19.8,22.5,0,Safe
396,Kolar,Tomato,2023,10,313,Summer,0,0,56.7,34.2,52.4,29.0,38.6,645,77.6,-1538,22,0.516,0.667,8,24.0,66.2,23.1,27.6,25.7,1,Alert
397,Kodagu,Coffee,2024,2,284,Rabi,0,1,23.8,24.1,76.3,67.9,44.3,9317,1125.5,7134,47,0.0,0.851,5,0.0,43.9,112.5,31.0,30.1,1,Alert
398,Raichur,Paddy,2023,10,78,Summer,0,0,104.8,36.2,52.1,31.6,31.7,2034,290.3,-149,33,0.763,0.574,8,25.3,68.3,30.5,37.8,21.1,0,Safe
399,Gadag,Wheat,2022,9,80,Kharif,1,0,82.6,37.1,52.6,33.7,21.2,2103,241.8,-80,17,0.603,0.662,7,28.1,72.5,25.0,25.4,17.5,0,Safe
400,Dharwada,Cotton,2023,2,28,Rabi,0,1,18.2,39.3,68.2,36.7,29.3,6808,834.0,4625,57,0.352,0.677,9,0.0,67.0,83.4,44.6,29.2,1,Alert
401,Tumkuru,Groundnut,2024,10,29,Summer,0,0,100.7,33.6,49.2,48.6,48.4,6010,789.0,3827,50,0.324,0.683,6,22.2,51.5,78.9,40.8,31.0,1,Alert
402,Yadgir,Paddy,2023,10,136,Summer,0,0,51.2,37.4,59.5,18.9,42.4,2091,210.2,-92,166,0.642,0.471,10,27.8,69.3,21.9,109.5,42.2,1,Alert
403,Mandya,Sugarcane,2022,8,39,Kharif,1,0,61.5,37.9,64.7,56.9,16.7,3500,490.4,1317,8,0.201,0.709,2,21.7,63.2,49.0,18.6,23.3,0,Safe
404,Yadgir,Paddy,2022,6,20,Kharif,1,0,27.6,39.5,54.3,5.0,26.5,2094,253.2,-89,47,0.835,0.524,8,50.1,84.2,26.2,47.3,32.1,1,Alert
405,Mandya,Sugarcane,2022,4,191,Summer,0,0,52.8,39.1,61.0,34.6,27.1,3389,406.4,1206,11,0.304,0.749,2,0.0,69.2,40.6,18.1,17.5,0,Safe
406,Ballari,Cotton,2024,2,241,Rabi,0,1,10.6,36.5,53.1,36.3,27.5,7128,850.6,4945,34,0.519,0.678,6,31.9,68.1,85.1,33.1,28.1,1,Alert
407,Chikkamagaluru,Coffee,2024,8,344,Kharif,1,0,81.5,20.6,67.9,61.9,39.9,9047,1145.8,6864,14,0.109,0.727,3,0.0,49.1,114.6,20.7,36.6,1,Alert
408,Gadag,Wheat,2023,7,140,Kharif,1,0,44.5,37.1,40.2,29.0,29.9,2164,228.3,-19,0,0.553,0.636,9,3.2,70.5,23.0,18.2,25.3,1,Alert
409,Kalaburagi,Soybean,2024,6,291,Kharif,1,0,43.7,36.0,45.7,19.0,28.3,4607,598.0,2424,14,0.525,0.532,5,32.3,76.3,59.8,30.4,29.6,1,Alert
410,Chamarajanagar,Ragi,2024,6,72,Kharif,1,0,74.0,31.1,67.4,26.1,35.4,3623,408.2,1440,31,0.362,0.671,6,2.5,69.2,40.8,31.9,13.8,0,Safe
411,Mysuru,Paddy,2024,9,106,Kharif,1,0,86.8,30.1,60.5,65.8,41.9,2202,258.1,19,2,0.284,0.773,5,12.7,46.2,25.8,12.3,5.1,0,Safe
412,Dharwad,Cotton,2023,10,94,Summer,0,0,68.4,32.1,48.2,48.2,47.6,6671,881.9,4488,17,0.323,0.641,5,24.4,52.1,88.2,26.4,30.3,1,Alert
413,Raichur,Paddy,2024,6,267,Kharif,1,0,57.5,37.7,40.1,20.9,23.4,2097,287.8,-86,71,0.732,0.516,4,22.1,77.8,29.6,59.7,20.9,0,Safe
414,Haveri,Cotton,2022,2,213,Rabi,0,1,13.9,33.6,55.6,41.0,39.2,7005,805.2,4822,49,0.429,0.695,6,0.0,59.9,80.5,39.8,30.0,1,Alert
415,Mandya,Sugarcane,2023,12,141,Rabi,0,1,8.5,30.1,70.0,58.0,38.4,3372,332.8,1189,4,0.309,0.705,9,3.1,51.8,33.3,16.8,15.6,0,Safe
416,Gadag,Wheat,2022,3,102,Summer,0,0,17.9,41.7,66.1,30.4,25.4,2482,252.8,299,14,0.566,0.618,7,29.6,72.1,25.3,26.1,16.8,0,Safe
417,Davangere,Paddy,2023,3,194,Summer,0,0,18.5,38.4,68.1,45.3,24.0,2326,298.3,143,26,0.495,0.69,6,31.5,65.3,29.8,28.5,17.5,0,Safe
418,Bangalore Rural,Tomato,2022,11,331,Rabi,0,1,23.6,30.5,59.7,43.2,53.3,644,100.1,-1539,10,0.357,0.623,6,49.2,51.8,25.4,23.9,18.4,0,Safe
419,Bidar,Sorghum,2022,5,254,Summer,0,0,38.2,41.5,56.4,18.9,23.2,3321,335.4,1138,27,0.551,0.538,17,16.9,78.9,33.5,36.6,27.4,1,Alert
420,Kodagu,Coffee,2022,9,137,Kharif,1,0,126.6,19.4,56.8,87.5,42.1,9118,1220.4,6935,4,0.155,0.809,3,0.0,35.2,122.0,11.5,40.3,1,Alert
421,Udupi,Paddy,2024,7,69,Kharif,1,0,114.8,31.1,71.8,61.4,31.7,2406,279.1,223,27,0.047,0.861,2,18.8,53.5,27.9,20.5,21.0,0,Safe
422,Kodagu,Coffee,2022,7,26,Kharif,1,0,282.1,23.8,68.8,55.7,49.5,8841,1164.5,6658,50,0.134,0.775,2,5.0,47.4,116.5,36.2,31.6,1,Alert
423,Ballari,Cotton,2024,3,190,Summer,0,0,9.9,37.4,45.1,26.9,31.3,7236,803.3,5053,55,0.592,0.628,10,36.9,70.9,80.3,46.1,30.5,1,Alert
424,Uttara Kannada,Paddy,2022,2,348,Rabi,0,1,13.7,24.2,80.1,72.2,44.9,2210,264.3,27,7,0.175,0.661,2,0.0,41.5,26.4,20.4,10.0,0,Safe
